Year,Number of votes,Title,Screenwriter,Gender,Description,Agency,Agents,Management,Managers,Producer,Financier
2010,7,EASY MONEY,Noah Oppenheim,M,"Based on the film Snabba Cash, a business school student with substantial ambition works in strategy for a New York City criminal enterprise.”",CAA ,"Rowena Arguelles, Billy Hawkins",Management 360,"Guymon Casady, Darin Friedman","Atlas Entertainment, Ninjas Runnin’ Wild Productions",Warner Brothers
2010,7,ZOMBIE BABY,Andy Jones,M,"After the zombie apocalypse, a young couple unsure about whether to start a family has the decision made for them when they take in an orphaned zombie baby they don’t have the heart to kill.”",,,Alan Gasmer & Friends,"Alan Gasmer, Daniel Vang","Unnamed Yorn Company, Alan Gasmer & Friends",
2010,6,ATM,Chris Sparling,M,Three co-workers end up in a desperate fight for survival when they stop to use an ATM.”,UTA,"Charlie Ferraro, Doug Johnson",Kaplan/Perrone Entertainment,"Aaron Kaplan, Sean Perrone","Gold Circle Films, The Safran Company",
2010,6,BOY SCOUTS VS. ZOMBIES,Carrie Evans & Emi Mochizuko,F,A troop of Boy Scouts on their weekend camping trip must protect an island town from a zombie outbreak and save the local girl scout troop.”,HML,"Bob Hohman, Bayard Maybank, Devra Lieb",Brucks Entertainment,Bryan Brucks,Broken Road Productions,Paramount
2010,6,THE EVER AFTER MURDERS,Ian Fried,M,"In a dark metropolis populated with characters from classical folklore, detectives Tom Thumb and Rachel Riding investigate a murder that brings them into contact with the city’s most dangerous inhabitants.”",WME,Mike Esola,prolific,Will Rowbotham,,
2010,6,HOVERCAR 3D,Blaise Hemingway,M,"Set in the future, an ex-con street racer has to transport a whistle blower across country in a high speed hovercar with an army of authorities trying to stop them.”",ICM,"Harley Copen, Ava Jamshidi",,,"Beacon Pictures, Millar/Gough Ink",Disney
2010,6,LOLA VERSUS,Daryl Wein & Zoe Lister-Jones,B,A twenty-nine year old woman has to reevaluate her life after her long time boyfriend calls off their wedding at the last minute.”,Gersh,Carolyn Sivitz,Management 360,Daniel Rappaport,Groundswell Productions,Fox Searchlight.
2010,6,PROM,Katie Wech,F,High school students prepare for their prom.”,ICM,"Nicole Clemens, Todd Hoffman",,Ava Jamshidi,Idealogy,Disney
2010,6,REPLAY,Jason Smilovic,M,"Based on the Ken Grimwood novel. A man dies, wakes up in his 18-year old body, and gets to relive his life over and over. With his original memory intact, he takes the opportunity to travel down roads he passed up the first time around.”",CAA,"Risa Gertner, Jay Baker",Madhouse Entertainment,Adam Kolbrenner,Goldsmith-Thomas Productions,Warner Brothers
2010,6,SIDNEY GRIMES,Brian Helgeland,M,A man just out of prison seeks revenge on his former partner who got him locked up.”,,,Brillstein Entertainment Partners,Missy Malkin,"Todd Black, Billy Gerber",
2010,5,ALIVE ALONE,Khurram Longi,M,"A London-based suicide bomber is having a crisis of conscience as he and his cell are planning an attack in the city. His female next door neighbor, a drug addict and prostitute, has men who want to kill her after witnessing the murder of her john. These two find solace in each other as they try to survive their respective situations.”",CAA,"Robert Bookman, Martin Spencer",,,Sarah Radclyffe,
2010,5,F*CKING JANE AUSTEN,Blake Bruns,M,Two friends angry at Jane Austen for creating unrealistic romantic expectations among women today get sent back in time to the nineteenth century. The only way for them to return home is for one of them to get Jane Austen to fall in love and sleep with him.”,,,Brucks Entertainment,Bryan Brucks,Brucks Entertainment,
2010,5,THE FLIGHT OF THE NEZ PERCE,E. Nicholas Mariani,M,The true story of Chief Joseph and his resistance to his tribe’s relocation to a military settlement in Idaho during the 1800s.”,UTA,"Charlie Ferraro, Jenny Maryasis",Circle of Confusion,"David Alpert, Britton Rizzio",,
2010,5,HIT AND RUN,Owen Yarde,M,A young man discovers that the undertaker who recently hired him as his driver is actually a hit man for the mafia.”,WME,"Cliff Roberts, David Karp",,,,
2010,5,KITCHEN SINK,Oren Uziel,M,"A human teenager, a vampire, and a zombie must save their town from an alien invasion.”",ICM,Harley Copen,Circle of Confusion,Britton Rizzio,,
2010,5,NESS/CAPONE,Grant Myers,M,The true story of young Elliot Ness taking down Al Capone.”,Paradigm,Mark Ross,Gotham Group,Jeremy Bell,,
2010,5,O.K.C.,Clay Wold,M,An ambitious legal aide working for the Timothy McVeigh defense team tries to get tot he bottom of what really happened during the Oklahoma City bombing.”,UTA,"Charlie Ferraro, Barbara Dreyfus",Kaplan/Perrone Entertainment,"Aaron Kaplan, Sean Perrone",The Safran Company,
2010,5,PAINT,Brit McAdams,M,A Bob Ross-esque PBS painting show host must fight for his career when his station brings in a rival painting host.”,UTA,"Blair Kohan, Geoff Morley",The Collective,Sam Maydew,Rip Cord Productions,
2010,5,PAPER AIRPLANE,Sid Karger,M,"After sabotaging another family vacation, a travel agent who’s afraid to fly battles his irrational phobias in order to win back his wife and daughter.”",WME,Mike Esola,Madhouse Entertainment,Adam Kolbrenner,,
2010,5,POINT A,Chris Rubeo,M,"An unconventional romantic comedy between a thirty year old magazine writer and thesubject of his newest piece, a witty, wise beyond her years teenage video blogger.”",ICM,"Aaron Hart, Adam Weinstein",Tantillo Entertainmen,John Tantillo,,
2010,5,SERENA,Chris Kyle,M,"In 1930s North Carolina, George Pemberton, with the help of his father’s money, ownsand runs a logging operation in the Smoky Mountains. George meets and marries Serena,a strong-willed, scheming, ambitious woman.”",ICM,Robert Lazar,,,"Nick Wechsler Productions, Exclusive Media Group",
2011,133,THE IMITATION GAME,Graham Moore,M,"The story of British WWII cryptographer Alan Turing, who cracked the German Enigma code and later poisoned himself after being criminally pros¬ecuted for being a homosexual..",CAA,"JP Evans, Jacqueline Sacerio",The Safran Company,Tom Drumm,"Ido Ostrowsky, Nora Grossman",Warner Brothers
2011,84,WHEN THE STREET LIGHTS GO ON,"Chris Hutton, Eddie O’Keefe",M,"In the early 1980s, a town suffers through the aftermath of a brutal murder of a high school girl and a teacher.",WME,"Simon Faber, Sarah Self",Tariq Merhab Management,Tariq Merhab,Imagine Entertainment,
2011,59,CHEWIE,"Evan Susser, Van Robichaux",M,A satirical behind the scenes look at the making of Star Wars through the eyes of Peter Mayhew who played Chewbacca.,WME,Mike Esola,Industry Entertainment,Jess Rosenthal,,
2011,53,THE OUTSIDER,Andrew Baldwin,M,"In post World War II Japan, an American former prisoner-of-war rises in the yakuza.",CAA,"Jay Baker, John Garvey",Anonymous Content,"Bard Dorros, David Kanter",Linson Entertainment,Warner Brothers
2011,43,FATHER DAUGHTER TIME: A TALE OF ARMED ROBBERY AND ESKIMO KISSES,Matthew Aldrich,M,"A man goes on a three state crime spree with an accomplice, his eleven year old daughter.",CAA,"John Garvey, Stuart Manashil",Silent R Management,Jewerl Ross,Pearl Street Productions,Warner Brothers
2011,33,IN THE EVENT OF A MOON DISASTER,Mike Jones,M,An alternate telling of the historic APOLLO 11 mission to land on the moon that examines what might have happened if the astronauts had crash landed there.,CAA,"David Kopple, JP Evans, Matt Rosen",The Gotham Group,Lindsay Williams,FilmNation,
2011,30,MAGGIE,John Scott 3,M,"As a walking dead” virus spreads across the country, a farm family helps their eldest daughter come to terms with her infection as she slowly becomes a flesh-eating zombie.",CAA,"Billy Hawkins, Dan Rabinow",Sly Predator,Trevor Kaufman,"Pierre-Ange Le Pogam, Trevor Kaufman, Matthew Baer",Pierre-Ange Le Pogam
2011,30,THE CURRENT WAR,Michael Mitnick,M,Based on the true story of the race between Thomas Edison and George Westinghouse to develop a practical system of electricity and sell their respective inventions to the country and the world.,WME,Simon Faber,Fourth Floor Productions,Jeff Silver,,
2011,28,THE END,Aron Eli Coleite,M,"Four people – a veteran broadcaster in London, a sixteen year old girl and her boyfriend in Ann Arbor, and a devoted family man in Shanghai – each try to make peace with their lives before an interstellar event ends the world in six hours.",CAA,"Matt Rosen, Martin Spencer",,,,Warner Brothers
2011,27,BEYOND THE PALE,Chad Feehan,M,"Teenage siblings suspect they’ve been ripped off by the town undertaker, but what they discover is much more sinister than either imagined.",CAA,"Matt Rosen, Jacqueline Sacerio",Management 360,"Guymon Casady, Mary Lee",The Fort,Vendome Pictures
2011,27,EZEKIEL MOSS,Keith Bunin,M,"A mysterious stranger who possibly has the power to channel the souls of the dead changes the lives of everyone in a small Nebraska town, especially a young widow and her 11-year-old son.",CAA,Rowena Arguelles,Kaplan/Perrone,"Alex Lerner, Sean Perrone","A Likely Story, Mandalay Pictures",
2011,24,GRACE OF MONACO,Arash Amel,M,"Grace Kelly, age 33 and having given up her acting career to focus on being a full time princess, uses her political maneuvering behind the scenes to save Monaco while French Leader Charles de Gaulle and Monaco’s Prince Rainier III are at odds over the princi¬pality’s standing as a tax haven.",CAA,"Rich Green, Matt Rosen",,,Pierre-Ange Le Pogam,Pierre-Ange Le Pogam
2011,24,HE’S FUCKIN’ PERFECT,Lauryn Kahn,F,A social media savvy girl who is pessimistic about love finds the perfect guy and decides to use her internet research skills to turn herself into his perfect match.,WME,Cliff Roberts,,,Gary Sanchez,Fox 2000
2011,23,BETHLEHEM,Larry Brenner,M,"A group of people struggling to survive a zombie apocalypse make an alliance with a vampire, trading themselves as food in exchange for protection since zombies don’t eat vampire.",CAA,"Martin Spencer, Jacqueline Sacerio",Magnet Management,Mitch Solomon,Roth Films,
2011,20,THE THREE MISFORTUNES OF GEPPETTO,Michael Vukadinovich,M,"A prequel to the story of Pinocchio in which Geppetto endures a life of misfortune, war, and ad¬venture, all to be with Julia Moon, his true love.",ICM,Ava Jamshidi,,,21 Laps Entertainment,Fox
2011,20,POWELL,Ed Whitworth,M,Based on the true story of Colin Powell questioning the Bush administration leading up to his United Nations presentation where he made the case for going to war with Iraq.,WME,"David Karp, Cliff Roberts, Dan Cohan",Circle of Confusion,Ashley Berns,Spirit Dance Entertainment,
2011,19,THE KNOLL,"Christopher Cantwell, Christopher Rogers",M,"A rookie cop and his potential flame witness JFK gunned down from the grassy knoll on November 22, 1963. Within hours, they’re on the run from the murderers who desperately need them silenced.",ICM,Aaron Hart,Management 360,"Jennifer Graham, Chris Huvane",Management 360,
2011,17,HOW TO DISAPPEAR COMPLETELY,Ed Solomon,M,A child prodigy tries to take control of his life away from his demanding parents.,CAA,"Jay Baker, Todd Feldman, David O’Connor",,,Escape Artists,Sony
2011,17,DESPERATE HOURS,E Nicholas Mariani,M,A small town crippled by WWI and the Spanish flu finds itself facing major moral questions and a brutal invading force when a young girl shows up on a rancher’s doorstep covered in blood.,UTA,"Charles Ferraro, Jenny Maryasis",Circle of Confusion,Britton Rizzio,Infinitum Nihil,GK Films
2011,17,A MANY SPLINTERED THING,"Chris Shafer, Paul Vicknair",M,"When a charming heartbreaker finally meets a girl he can’t have, he discovers the true meaning of love by living out other people’s love stories and writing his own.",UTA,"Jon Huddle, Jason Burns, Max Michael",Brillstein Entertainment Partners,Missy Malkin,Wonderland Sound and Vision,
2011,17,FLARSKY,Daniel Sterling,M,"A political journalist courts his old babysitter, who is now the United States secretary of state.",UTA,Julien Thuan,,,Point Grey Pictures,
2011,17,BLOOD MOUNTAIN,Jonathan Stokes,M,"After his team is ambushed and killed in Pakistan, a young army ranger must escort the world’s most wanted terrorist over dangerous terrain in order to bring him to justice. While being hunted by both of their enemies, they must find a way to work together in order to survive.",UTA,"Ramses Ishak, Michael Sheresky, Geoff Morley",Energy Entertainment,Brooklyn Weaver,,
2011,17,BASTARDS,Justin Malen,M,"Two brothers, raised to believe their biological father died, find out their mother slept with many powerful and famous men in the 1970s, and the siblings hit the road to find their real father.",Verve,"Bill Weinstein, Rob Herting",H2F,Chris Fenton,The Montecito Picture Company,Paramount
2011,17,CRAZY FOR THE STORM,Will Fetters,M,"The true story of Norman Ollestad’s relationship with his father, who thrust the boy into the world of extreme surfing and competitive downhill skiing at the age of three. But it was that experience that allowed an 11-year old Norman to survive a plane crash amidst a blizzard in the San Gabriel mountains.",WME,Elia Infascelli-Smith,3 Arts Entertainment,Oliver Obst,Billy Gerber,Warner Brothers
2011,16,THE SLACKFI PROJECT,Howard Overman,M,"A hapless and broken hearted barista is visited by two bad-ass soldiers from the future who tell him mankind is doomed, and he alone can save them.",UTA,Julien Thuan,,,Matt Tolmach Productions,Sony
2011,14,THE MUSEUM OF BROKEN RELATIONSHIPS,Natalie Krinsky,F,"Lucy, a twenty-eight year old junior curator at the Metropolitan Museum of Art in NYC, is sleeping with her boss. When he dumps her she begins a collection of break up items” and starts a blog which goes viral.",CAA,Jessica Matthews,The Gotham Group,"Jim Garavente, Jeremy Bell",,
2011,14,ST VINCENT DE VAN NUYS,Ted Melfi,M,"When a twelve year old boy in need of a babysitter moves in next door to a misanthropic aging retiree whose life mainly consists of gambling, hookers, and drinking, the elder becomes an unlikely mentor to the boy.",UTA,"Ramses Ishak, Michael Sheresky",Infinity Management International,Jon Karas,"Chernin Entertainment, Crescendo Productions",Fox
2011,14,DJANGO UNCHAINED,Quentin Tarantino,M,"A freed slave named Django is trained as a bounty hunter by a German dentist named Schultz, and the two men set out to find Django’s enslaved wife.",WME,Mike Simpson,,,"Double Feature Films, The Weinstein Company","The Weinstein Company, Sony"
2011,13,THE ACCOUNTANT,Bill Dubuque,M,"The Treasury Department pursues a brilliant, autistic accountant who doubles as an assassin and problem-solves” with precision in more ways than one.",Paradigm,Trevor Astbury,Zero Gravity Management,Eric Williams,Silverwood Films,
2011,13,SAVING MR. BANKS,Kelly Marcel,F,The story of how Walt Disney got the rights for Mary Poppins.,WME,"Phil Raskind, David Karp",,,Ruby Films,
2011,12,BRIDGES ON THE FORT POINT CHANNEL,Chuck Maclean,M,"An Irish family in the 1970s, dealing with the loss of their father and the busing of black kids into white neighbor-hoods, decides to blow up all the bridges in Boston.",CAA,Billy Hawkins,Oasis Media Group,"Allison Doyle, Ben Rowe",,
2011,12,THE BIG STONE GRID,Craig Zahler,M,A cop is pulled into an underworld organization that brutally murders people to extort money out of others.,UTA,"Julien Thuan, Emerson Davis",Caliber Media,Dallas Sonnier,Michael De Luca Productions,Sony
2011,12,CITIES OF REFUGE,Brandon Willer,M,A former FBI psychologist is called in to investigate when a young girl goes missing after the apparent murder of her father and brother by two strangers in a small Oklahoma town.,WME,"Phil D’amecourt, Jeff Gorin",Benderspink,Jake Weiner,"Tower Hill, Benderspink, Charlize Theron",
2011,12,GOOD KIDS,Chris McCoy,M,Four overachieving high school students in Cape Cod reinvent themselves during the summer after graduation.,WME,"Simon Faber, Jeff Gorin, Sharon Jackson",The Gotham Group,Shawn Simon,Depth of Field,
2011,11,LEAVING PETE,"Ali Waller, Morgan Murphy",B,"A recently divorced author is stunned when his ex writes a popular book about their breakup, and he has to keep that fact secret from his new girlfriend, who works for the book’s publisher.",CAA,"Bill Zotti, Andy Elkin",,,,
2011,11,HIDDEN,"Matt Duffer, Ross Duffer",M,An elevated horror-thriller about a family hiding in a bomb shelter after escaping a mysterious outbreak.,Paradigm,Chris Smith,MXN,Mason Novick,"Mason Novick, Roy Lee, Lawrence Grey",Warner Brothers
2011,11,DIRTY GRANDPA,John Phillips,M,"A young groom engaged to a demanding woman is forced to spend the week before his wedding with his half-blind, half-crazy, and wholly horny grandfather. Through this wild journey, his grandfather shows him how to take life by the balls and lead with his heart.",UTA,"Jon Huddle, Steven Fisher",,,Josephson Entertainment,Universal
